-79.863553011,-6.780637661 -79.124205771,-5.470730227 -79.123648731,-5.470836984 -78.39852,-5.84912 -80.65133206,-5.162690662 -80.652125162,-5.162719141 -77.245110083,-6.489025582 -77.2451,-6.489 -77.315010167,-5.934203015 -77.31246989,-5.936442312 -77.310661476,-5.935928234
-76.9069,-6.5883 -76.945115634,-6.256300379 -77.2451,-6.489 -77.245110083,-6.489025582 -77.310661476,-5.935928234 -77.31246989,-5.936442312 -77.315010167,-5.934203015 -77.3102,-5.9302 -78.39852,-5.84912 -79.123648731,-5.470836984 -79.124205771,-5.470730227
-77.245110083,-6.489025582 -77.2451,-6.489 -76.9069,-6.5883 -76.945115634,-6.256300379 -77.31246989,-5.936442312 -77.310661476,-5.935928234 -77.315010167,-5.934203015 -77.3102,-5.9302 -78.39852,-5.84912 -79.123648731,-5.470836984 -79.124205771,-5.470730227
-77.2451,-6.489 -77.245110083,-6.489025582 -76.9069,-6.5883 -76.945115634,-6.256300379 -77.31246989,-5.936442312 -77.310661476,-5.935928234 -77.315010167,-5.934203015 -77.3102,-5.9302 -78.39852,-5.84912 -79.123648731,-5.470836984 -79.124205771,-5.470730227
-76.945115634,-6.256300379 -76.9069,-6.5883 -77.2451,-6.489 -77.245110083,-6.489025582 -77.310661476,-5.935928234 -77.31246989,-5.936442312 -77.3102,-5.9302 -77.315010167,-5.934203015 -78.39852,-5.84912 -79.123648731,-5.470836984 -79.124205771,-5.470730227
-77.31246989,-5.936442312 -77.310661476,-5.935928234 -77.315010167,-5.934203015 -77.3102,-5.9302 -76.945115634,-6.256300379 -77.2451,-6.489 -77.245110083,-6.489025582 -76.9069,-6.5883 -78.39852,-5.84912 -79.123648731,-5.470836984 -79.124205771,-5.470730227
-77.310661476,-5.935928234 -77.31246989,-5.936442312 -77.315010167,-5.934203015 -77.3102,-5.9302 -76.945115634,-6.256300379 -77.2451,-6.489 -77.245110083,-6.489025582 -76.9069,-6.5883 -78.39852,-5.84912 -79.123648731,-5.470836984 -79.124205771,-5.470730227
-77.315010167,-5.934203015 -77.31246989,-5.936442312 -77.310661476,-5.935928234 -77.3102,-5.9302 -76.945115634,-6.256300379 -77.2451,-6.489 -77.245110083,-6.489025582 -76.9069,-6.5883 -78.39852,-5.84912 -79.123648731,-5.470836984 -79.124205771,-5.470730227
-77.3102,-5.9302 -77.310661476,-5.935928234 -77.315010167,-5.934203015 -77.31246989,-5.936442312 -76.945115634,-6.256300379 -77.2451,-6.489 -77.245110083,-6.489025582 -76.9069,-6.5883 -78.39852,-5.84912 -79.123648731,-5.470836984 -79.124205771,-5.470730227
-78.39852,-5.84912 -79.123648731,-5.470836984 -79.124205771,-5.470730227 -77.315010167,-5.934203015 -77.31246989,-5.936442312 -77.310661476,-5.935928234 -77.3102,-5.9302 -77.2451,-6.489 -77.245110083,-6.489025582 -76.945115634,-6.256300379 -76.9069,-6.5883
-79.123648731,-5.470836984 -79.124205771,-5.470730227 -78.39852,-5.84912 -79.863553011,-6.780637661 -80.65133206,-5.162690662 -80.652125162,-5.162719141 -77.315010167,-5.934203015 -77.31246989,-5.936442312 -77.3102,-5.9302 -77.310661476,-5.935928234 -77.2451,-6.489
-79.124205771,-5.470730227 -79.123648731,-5.470836984 -78.39852,-5.84912 -79.863553011,-6.780637661 -80.65133206,-5.162690662 -80.652125162,-5.162719141 -77.315010167,-5.934203015 -77.31246989,-5.936442312 -77.3102,-5.9302 -77.310661476,-5.935928234 -77.2451,-6.489
-80.652125162,-5.162719141 -80.65133206,-5.162690662 -79.124205771,-5.470730227 -79.123648731,-5.470836984 -80.2235,-3.5643 -79.863553011,-6.780637661 -78.39852,-5.84912 -77.315010167,-5.934203015 -77.31246989,-5.936442312 -77.3102,-5.9302 -77.310661476,-5.935928234
-80.65133206,-5.162690662 -80.652125162,-5.162719141 -79.124205771,-5.470730227 -79.123648731,-5.470836984 -80.2235,-3.5643 -79.863553011,-6.780637661 -78.39852,-5.84912 -77.315010167,-5.934203015 -77.31246989,-5.936442312 -77.3102,-5.9302 -77.310661476,-5.935928234
-80.2235,-3.5643 -80.65133206,-5.162690662 -80.652125162,-5.162719141 -79.124205771,-5.470730227 -79.123648731,-5.470836984 -78.39852,-5.84912 -79.863553011,-6.780637661 -77.315010167,-5.934203015 -77.3102,-5.9302 -77.31246989,-5.936442312 -77.310661476,-5.935928234
